Level,Type,Question,Follow-ups
II ,Organizational Stewardship,Describe a time when you worked as a member of a team to accomplish a goal of your organization.,What role did you play?  Describe how the team worked together.  What was the outcome?
II ,Organizational Stewardship,Describe a time when you were working with a group and there was conflict in getting a job done.,"What was your role?  Were the conflicts resolved?  If yes, how were they resolved?  If no, what were they not resolved?"
II ,Organizational Stewardship,Tell me about a specific time when a co-worker was experiencing significant personal problems that were affecting their work.,What did you do to assist the co-worker and help them with their situation?  Were your efforts successful?  How did you know they were or were not successful? 
III,Organizational Stewardship,Describe a time when one of your staff or your work team was working above work expectations.,What was your response?  How did the other party respond?
III,Organizational Stewardship,Describe a time when one of your staff or your work team was working below work expectations.,What was your response?  How did the other party respond?  What was the ultimate outcome?
III,Organizational Stewardship,"List three characteristics you feel you possess that make you a sensitive, effective leader.",Give a specific example to illustrate the application of each to your work setting.
III,Organizational Stewardship,Tell me about a specific time when a subordinate had a personal need that conflicted with the needs of your organization.,How did you address the conflicting needs?  What was the result of the way you handled the situation?
IV,Organizational Stewardship,What experience have you had implementing reorganizations or change in an organization?,How did you do this?  What were the challenges and regrets?
IV,Organizational Stewardship,Tell me specifically what you have done to create an atmosphere of trust and empowerment within your sphere of influence.,What tangible results have you seen from your efforts?
I,Personal Mastery,Tell us about a job or setting where great attention to detail was required to complete a task.,What steps were involved?  How did you handle that situation?
I,Personal Mastery,Name three things you have done in the past two years to grow in your job.,
I,Personal Mastery,Describe a time when you received negative feedback and turned it into something positive.,
I,Personal Mastery,What self development activities are you currently engaged in?,
II,Personal Mastery,Describe a time when you anticipated potential problems and developed preventative measures.,
II,Personal Mastery,Tell us how you keep your job knowledge current with ongoing changes.,
II,Personal Mastery,Developing and using a detailed procedure is often very important in a job.  Tell about a time when you needed to develop and use a detailed procedure to successfully complete a project.,
II,Personal Mastery,Give me a specific example of a time when you used good judgment and logic in solving a problem.,
II,Personal Mastery,Tell us about a time when you had to analyze information and make a recommendation.,What kind of thought process did you go through?   What was your reasoning behind your decision?
II,Personal Mastery,Describe a negative work experience you learned from.,Describe the circumstances and give an example to show you applied the learning to a work situation.
II,Personal Mastery,Describe a situation where you can take credit for the growth and development of a staff member or co-worker.  Be specific about your role in terms of interactions and the outcome.,
II,Personal Mastery,Tell me specifically what self-development activities you have participated in during the last year.,
III,Personal Mastery,Tell me about a time when you delegated a project effectively.,What steps did you take to empower others to work on the project?  How did you track progress of the project?
III,Personal Mastery,"In a supervisory role, have you ever had to discipline or counsel an employee?",What was the nature of the discipline?  What steps did you take?  How that make you feel?  How did you prepare yourself?
III,Personal Mastery,Everyone has made some poor decisions or has done something that just did not turn out right.  Give an example of when this happened to you.,What did you learn?  What would you do differently?
III,Personal Mastery,Describe a time when you disagreed with an evaluation or feedback you received about your performance.,How did you handle the situation?  What impact did it have on you?  What did you learn?
III,Personal Mastery,Tell me specifically about the professional activities in which you are currently engaged to enhance your professional capabilities.,
IV,Personal Mastery,Tell me about a specific time you sought specific feedback on your performance from subordinates.,"Specifically, how did you use the feedback?  Cite specific changes resulting from the feedback?"
I,Systems Thinking,How does the work you are currently doing affect your organization’s ability to meet its mission and goals?,Do you think your work is important? Why?
I,Systems Thinking,Describe a time when you went over and above your job expectation.,What motivated you to put forth the extra effort?  How did you feel when the job was finished?  Did others realize you had put forth the extra effort?  What feedback did you get for your effort?
I,Systems Thinking,Tell me about a time when you had to take on extra duties or make some other sacrifice (such as changing your duty hours) in order for an overall improvement in the service of your unit to its customers to occur.,How did you feel about making the change?  What did you say to co-workers and supervisors about the change?  How do you feel about the change now?  Has it produced better service to your customers?
II,Systems Thinking,"In your current job, what organizational change have you made or contributed to that you are proud of?",How did you go about making the change?  What has been the impact of the change?
II,Systems Thinking,"Tell me about a specific time when others in your work group were having difficulty understanding how their work interfaced with the work of other units, and the impact changes they made had on those other work groups.",What specific things did you do to assist your co-workers to better understand the relationship of your work to that of others in the organization?  What specific things did you do to ensure that changes within your group were not detrimental to other work groups?
III,Systems Thinking,Describe a change you are responsible for that improved the performance of your work area or organization.,"How did: 1) you come up with the idea for the change, 2) you go about implementing the change, 3) staff respond to the change, and 4) you measure the outcome of the change?  In looking back, what things would you do differently?"
III,Systems Thinking,Tell me about a specific time when you had to assist your staff in understanding the relevance to the organization of an aspect of their work.,What mechanisms did you use to communicate with them?  How effective was the communication?  How did you evaluate that effectiveness?
IV,Systems Thinking,Tell me about a specific decision that you made within your organization that had unexpected consequences outside your organization.,How did you deal with those consequences?
II,Technical Skills,Give me an example of a time when you used good judgment and decision-making in solving a problem.,
,Technical Skills,Give an example of how you have used a technical skill in your field in you current position.,
,Technical Skills,Compare what you know about the job you are interviewing for and your own knowledge and skill. What areas of development do you feel you will need to meet the job expectations?,
